AI	dNBR	years	slope	I12_crit_mean
0.5	0	0.434	0.1	500
0.5	0	0.434	0.2	500
0.5	0	0.434	0.3	500
0.5	0	0.434	0.4	500
0.5	0	0.434	0.5	500
0.5	0	0.434	0.6	500
0.5	0	0.434	0.7	500
0.5	0	0.434	0.8	500
0.5	0	0.434	0.9	500
0.5	0	0.434	1	500
0.5	0	1.434	0.1	500
0.5	0	1.434	0.2	500
0.5	0	1.434	0.3	500
0.5	0	1.434	0.4	500
0.5	0	1.434	0.5	500
0.5	0	1.434	0.6	500
0.5	0	1.434	0.7	500
0.5	0	1.434	0.8	500
0.5	0	1.434	0.9	500
0.5	0	1.434	1	500
0.5	100	0.434	0.1	500
0.5	100	0.434	0.2	500
0.5	100	0.434	0.3	500
0.5	100	0.434	0.4	500
0.5	100	0.434	0.5	500
0.5	100	0.434	0.6	500
0.5	100	0.434	0.7	500
0.5	100	0.434	0.8	500
0.5	100	0.434	0.9	500
0.5	100	0.434	1	500
0.5	100	1.434	0.1	500
0.5	100	1.434	0.2	500
0.5	100	1.434	0.3	500
0.5	100	1.434	0.4	500
0.5	100	1.434	0.5	500
0.5	100	1.434	0.6	500
0.5	100	1.434	0.7	500
0.5	100	1.434	0.8	500
0.5	100	1.434	0.9	500
0.5	100	1.434	1	500
0.5	200	0.434	0.1	500
0.5	200	0.434	0.2	500
0.5	200	0.434	0.3	500
0.5	200	0.434	0.4	500
0.5	200	0.434	0.5	500
0.5	200	0.434	0.6	500
0.5	200	0.434	0.7	500
0.5	200	0.434	0.8	500
0.5	200	0.434	0.9	500
0.5	200	0.434	1	500
0.5	200	1.434	0.1	500
0.5	200	1.434	0.2	500
0.5	200	1.434	0.3	500
0.5	200	1.434	0.4	500
0.5	200	1.434	0.5	500
0.5	200	1.434	0.6	500
0.5	200	1.434	0.7	500
0.5	200	1.434	0.8	500
0.5	200	1.434	0.9	500
0.5	200	1.434	1	500
0.5	300	0.434	0.1	500
0.5	300	0.434	0.2	500
0.5	300	0.434	0.3	500
0.5	300	0.434	0.4	500
0.5	300	0.434	0.5	500
0.5	300	0.434	0.6	500
0.5	300	0.434	0.7	500
